STATE,0,INCOME_AMT,ASSET_AMT
AK,9022,2442017.04230638,3832146.5653360626
AL,7900,1113687.6125615945,1917997.8793116128
AR,7984,3319401.986888112,5084985.809065934
AZ,6733,2963404.314614831,4049079.423266139
CA,7460,5299791.724407376,7872821.238162376
CO,7262,2153646.9418254276,3806455.709078538
CT,8714,4638680.679478328,9973390.670195628
DC,8298,10835667.590530697,14244405.4683923
DE,5957,3376470.7266146992,5826690.952672605
FL,6724,2398734.5262436597,3936326.226757191
GA,6570,2826112.2232501046,4704868.052212442
HI,7828,3326364.298560442,5709034.7302307235
IA,9295,2115564.840104298,3902723.458238708
ID,7380,2364978.1968922107,2381165.98465775
IL,8284,4089006.002123305,6688091.360731645
IN,8537,4394193.5952683315,8216857.166925357
KS,9687,1800102.7049988792,3292519.50179332
KY,7842,2713746.305059524,3689130.4796918766
LA,7079,2740939.764926676,4557650.296700419
MA,7838,8378067.713763385,14760556.315487072
MD,7241,4820732.112674841,6993170.989682266
ME,8543,3199141.5864935066,4827032.528484848
MI,7909,2667409.010271681,4642029.952589668
MN,8132,4021567.4890220496,6316201.177051636
MO,8891,5542425.838453521,8601261.956970569
MS,9368,962112.003734707,1835974.6725048295
MT,8331,1884945.4623005877,2870915.9370277077
NC,6749,2942585.5172531498,5530702.529510333
ND,10543,2270640.9943242283,3157123.8183753104
NE,9361,3312444.298694004,8593351.527734868
NH,8559,4795831.3855149,6868698.291022256
NJ,7000,3541436.567542662,6146144.606860069
NM,8763,1696397.0926551663,3055337.8283834253
NV,6468,1341278.1891767944,2567430.914125201
NY,8095,6000935.146678375,10037091.736709319
OH,8264,3944242.0026004612,6444949.627177273
OK,8644,1859201.5680909655,4040038.5198543128
OR,8214,2198524.49658899,3758767.4780817293
PA,8202,5761083.724755007,9245870.018971587
RI,8547,4903184.029115342,7497291.852463606
SC,8927,2386364.577118195,3425276.2559248884
SD,9224,4045520.3208232448,5604232.411622276
TN,9591,2510622.5594662745,4229558.942950199
TX,7022,2348126.9270681017,4097644.4704796607
UT,6574,3780388.8789844075,6334047.634055471
VA,7542,3638363.2032520324,6042666.830053973
VT,8335,2365161.313770914,3661919.3634491633
WA,7933,7948819.630368099,9369798.031015677
WI,8457,3126595.6515913685,4547414.306332566
WV,8504,2219751.472010178,2816152.3742275536
WY,7574,929262.9284520227,2014517.1902373787
